date,consumerloans
2004-02-11,613.8720168284879
2004-02-18,621.0014168284879
2004-02-25,619.3372168284878
2004-03-03,613.6778168284878
2004-03-10,612.8697168284879
2004-03-17,615.0634168284878
2004-03-24,617.8320168284879
2004-03-31,614.3919168284879
2004-04-07,617.8450691311593
2004-04-14,619.2900691311594
2004-04-21,621.2852691311593
2004-04-28,622.7432691311594
2004-05-05,621.1953691311594
2004-05-12,620.6694691311594
2004-05-19,627.8816691311595
2004-05-26,627.8543691311594
2004-06-02,627.1874691311593
2004-06-09,627.1487691311594
2004-06-16,627.9096691311595
2004-06-23,629.6784691311594
2004-06-30,625.4219691311594
2004-07-07,628.8167651743843
2004-07-14,629.4542651743843
2004-07-21,631.9917651743843
2004-07-28,631.7131651743844
2004-08-04,629.8739651743844
